부정,점수
두렵거나 무서워,-1
두렵거나 싫어서,-1
두렵거나 춥거나,-1
두렵거나 흥분,-1
두렵고,-1
두렵고 무서움,-1
두렵다,-1
두창을,-1
두창을 앓을,-1
두통,-1
둔하고 미련한,-1
뒤끓다,-1
뒤떨어져,-1
뒤떨어지거나,-1
뒤떨어지거나 모자라다,-1
뒤떨어지거나 못하다,-1
뒤지어 훔치다,-1
뒤틀리다,-1
뒤틀리어서,-1
듣기 거북하게,-1
듣기 거북한,-1
듣기 싫게,-1
듣기 싫도록,-1
듣기 싫은,-1
들끓다,-1
들볶거나 번거롭게,-1
들어 앓는,-1
들지 아니하거나,-1
들지 아니하여,-1
들추어내어 일러바치다,-1
따돌리거나 멀리함,-1
따돌림을,-1
따돌림을 당하거나,-1
따돌림을 당하여,-1
따르지 않고,-1
따위가 성가시고,-1
따위를 아프고,-1
따지며 싸우다,-1
딱딱한 말씨로,-1
딱하고,-1
딱하고 불쌍하게,-1
딱하다,-1
딱하여,-1
딱한,-1
딱한 사정에,-1
딱한 일을,-1
딱한 형편을,-1
딱한 형편이,-1
딱함,-1
때가 찌들어서,-1
때려 죽여서,-1
떠벌리다,-1
떡실신,-1
떳떳하지 못하거나,-1
떳떳하지 못하게,-1
떳떳하지 못하다,-1
떳떳하지 못하여,-1
떳떳하지 못한,-1
또는 슬프게,-1
또라이,-1
똥꼬충,-1
뜻대로 되지 아니하거나,-1
뜻대로 되지 아니하여,-1
뜻대로 되지 않아,-1
뜻대로 안 되거나,-1
뜻으로 두려워서,-1
뜻이 맞지 아니하여,-1
띠꾸,-1
마구 가두거나,-1
마구 내버리거나,-1
마구 다그치다,-1
마구 들볶다,-1
마구 때림을,-1
마구 떠들거나,-1
마구 떠들어,-1
마구 죄어들거나,-1
마구 죽이는,-1
마구 죽이는 일,-1
마구 죽임을,-1
마구 지껄이는,-1
마구 쳐부수는,-1
마구 헐뜯는,-1
마구 헝클어지거나,-1
마구 화풀이를,-1
마땅하지 않은,-1
마비되는,-1
마비되는 병증,-1
마음속이 답답하여,-1
마음에 근심이,-1
마음에 들지 아니하다,-1
마음에 들지 아니하여,-1
마음에 들지 아니하여서,-1
마음에 들지 않거나,-1
마음에 들지 않다,-1
마음에 들지 않아,-1
마음에 멍이 들거나,-1
마음에 못마땅하거나,-1
마음에 못마땅하여,-1
마음에 못마땅할,-1
마음에 미안하게,-1
마음에 미안하고,-1
마음에 미안하다,-1
마음에 미안함,-1
마음에 안 들거나,-1
마음에 언짢고,-1
마음에 언짢아서,-1
마음으로 근심함,-1
마음으로 좀스럽게,-1
마음을 놓을 수 없게,-1
마음을 상하게,-1
마음의 괴로움과,-1
마음이 거북하다,-1
마음이 괴로운,-1
마음이 괴롭고,-1
마음이 구슬퍼질,-1
마음이 답답하고,-1
마음이 맞지 아니하여,-1
마음이 몹시 상함,-1
마음이 무거워지다,-1
마음이 불안하거나,-1
마음이 불안하게,-1
마음이 불안하다,-1
마음이 불안한,-1
마음이 불편하고,-1
마음이 불편하여,-1
마음이 상하게,-1
마음이 상하다,-1
마음이 상함,-1
마음이 서운하거나,-1
마음이 슬프다,-1
마음이 쓰리고,-1
마음이 아프고,-1
마음이 아프다,-1
마음이 아픈,-1
마음이 아플,-1
마음이 안타깝거나,-1
마음이 안타깝게,-1
마음이 언짢게,-1
마음이 언짢고,-1
마음이 언짢아서,-1
마음이 언짢아지다,-1
마음이 우울하게,-1
마음이 조급하여,-1
마음이 좁고,-1
마음이 좁아,-1
마음이 지치어,-1
마음이 초조하고,-1
마음이 초조하고 불안하다,-1
마음이 초조한,-1
마음이 초초하고,-1
마이너스,-1
막되게,-1
막되게 행동하다,-1
막되다,-1
막되어,-1
막막하게,-1
막막하다,-1
막연하다,-1
막혀,-1
막히는,-1
막히는 것을,-1
막히는 모양,-1
막히는 장애물을,-1
막히다,-1
막힌 듯이,-1
많이 무질서하게,-1
많이 상하다,-1
많이 상해서,-1
말다툼하다,-1
말대꾸하다,-1
말대답을,-1
말대답을 하며,-1
말라죽은,-1
말라죽을,-1
말라죽을 꼴로,-1
말에 부정하여,-1
말을 부정하며,-1
말을 함부로,-1
말이 버릇없고,-1
망상,-1
망신,-1
망신스러운,-1
망신스러운 일을,-1
망치는 짓을,-1
망치다,-1
망하는,-1
망하는 때,-1
망하다,-1
망할,-1
망할 꼴로,-1
맞갖지 않게,-1
맞갖지 않다,-1
맞추기 힘들,-1
맞추기 힘들 만큼,-1
매독,-1
매독균의,-1
매독균의 침입으로,-1
매로 때리는,-1
매몰차게,-1
매몰차고,-1
매섭게 공격하다,-1
매섭게 독하거나,-1
매스껍고,-1
매슥매슥하여,-1
매우 가난하여,-1
매우 가쁘고,-1
매우 가소롭게,-1
매우 가소롭다,-1
매우 간지럽고,-1
매우 거만하게,-1
매우 거만하고,-1
매우 거친,-1
매우 거칠게,-1
매우 거칠고,-1
매우 거칠다,-1
매우 경망스럽게,-1
매우 경망스럽고,-1
매우 경망하게,-1
매우 경박하다,-1
매우 고통스럽게,-1
매우 괴로워하다,-1
매우 괴롭다,-1
매우 교만하고,-1
매우 굼뜨게,-1
매우 귀찮을,-1
매우 근심하다,-1
매우 근지럽고,-1
매우 급하게,-1
매우 급하고,-1
매우 까다로운,-1
매우 까다롭게,-1
매우 까다롭다,-1
매우 깔깔하며,-1
매우 나빠지거나,-1
매우 난폭하거나,-1
매우 눈꼴사납고,-1
매우 느끼하다,-1
매우 느리고,-1
매우 능청스럽고,-1
매우 답답하다,-1
매우 더운,-1
매우 떨어지고,-1
매우 멋없이,-1
매우 멍한,-1
매우 메스껍고,-1
매우 메스껍다,-1
매우 모질고,-1
매우 못된,-1
매우 못마땅해하면서,-1
매우 못마해하면서,-1
매우 미덥지,-1
매우 미련하고,-1
매우 밉살스러운,-1
매우 방정맞게,-1
매우 복잡하게,-1
매우 부산한,-1
매우 비굴하게,-1
매우 비속하게,-1
매우 빤빤스럽고,-1
매우 뻔뻔스럽고,-1
매우 서먹서먹하게,-1
매우 성기게,-1
매우 소란스럽게,-1
매우 소스라치게,-1
매우 수더분하거나,-1
매우 시끄럽고,-1
매우 신경질적으로,-1
매우 심한,-1
매우 심함을,-1
매우 안타깝게,-1
매우 알짤지근하다,-1
매우 알짤지근한,-1
매우 애를,-1
매우 애통할,-1
매우 약한,-1
매우 얄밉게,-1
매우 어려운,-1
매우 어리석고,-1
매우 어리석은,-1
매우 어수선하게,-1
매우 어수선하다,-1
매우 어지러우며,-1
매우 어지럽게,-1
매우 어찔어찔한,-1
매우 엉성하고,-1
매우 엉성한,-1
매우 옹졸하고,-1
매우 요란스럽게,-1
매우 요란하게,-1
매우 우락부락하고,-1
매우 우물쭈물하다,-1
매우 우악스러운,-1
매우 위태롭거나,-1
매우 위태하여,-1
매우 인색한,-1
매우 자리자리한,-1
매우 저린,-1
매우 절면서,-1
매우 추운,-1
매우 치사하고,-1
매우 허전하고,-1
매우 허전하다,-1
매우 허전한,-1
매우 흉하게,-1
매우 흐리멍덩하다,-1
매우 흐리멍덩한,-1
매우 힘들게,-1
매우 힘없이,-1
매질을,-1
매질을 하고,-1
매질을 하다,-1
맥없게,-1
맥없는,-1
맥없이,-1
맥없이 느리게,-1
맥없이 주저앉거나,-1
맥없이 폭,-1
맥이 빠져,-1
맥이 풀려,-1
맥이 풀리거나,-1
맥이 풀리다,-1
맥이 풀림,-1
맺힌 노여움,-1
머리가 몹시 어지러워,-1
머리가 몹시 울리고,-1
머리가 아픈,-1
머저리,-1
먹기 싫은,-1
멋없다,-1
멋없이,-1
멋없이 걷는,-1
멋없이 까다롭게,-1
멋없이 까다롭다,-1
멋없이 우쭐하는,-1
멋없이 우쭐하다,-1
멋없이 행동하는,-1
멋없이 행동하다,-1
멋없이 흔들리는,-1
멋없이 흔들리다,-1
멋이 없다,-1
멍청이,-1
멍청하거나,-1
멍청하고,-1
멍청하다,-1
멍청한,-1
멍청한 모양,-1
멍청한 사람,-1
멍청한 정도로,-1
메말라,-1
메스꺼움,-1
메스꺼워,-1
메스꺼워 구역질이,-1
메스꺼워 토하며,-1
메스껍고,-1
메스껍고 느끼하다,-1
메스껍고 느끼해지다,-1
메스껍다,-1
메슥메슥하여,-1
메슥메슥한,-1
메슥메슥한 느낌이,-1
멘붕,-1
면색여토하다,-1
멸망시키다,-1
멸망함,-1
멸명되다,-1
멸시,-1
멸시감,-1
멸시당하는,-1
멸시당하는 느낌,-1
멸시되다,-1
멸시하거나,-1
멸시하다,-1
멸여,-1
멸여되다,-1
멸여하다,-1
명망을 잃거나,-1
명망을 잃다,-1
명망을 잃음,-1
명예 훼손,-1
명예롭지 못한,-1
명존세,-1
모두 잃거나,-1
모두 지쳐,-1
모양이 흉하게,-1
모양이 흉하고,-1
모욕,-1
모욕을,-1
모욕을 당하거나,-1
모조리 파괴되어,-1
모조리 파괴하여,-1
모조리 훔치거나,-1
모진,-1
모진 고통을,-1
모질게,-1
모질고,-1
모질고 억세다,-1
모질고 잔인한,-1
모질다,-1
모짊,-1
목구멍에 걸려,-1
목숨을 끊다,-1
목숨이 거의 다 되어,-1
목숨이 거의 다 된 생태,-1
목숨이 얼마 남지 않은,-1
목숨이 위태로울,-1
몰아붙이듯이,-1
몰아붙이듯이 공격하다,-1
몰아쳐서,-1
몸살나다,-1
몸을 더럽히다,-1
몸이 거북하다,-1
몸이 불편하거나,-1
몸이 불편하다,-1
몸이 불편하여,-1
몸이 불편함,-1
몸져눕게,-1
몸져눕게 만들다,-1
몸져눕는,-1
몸져눕는 상태가,-1
몹시 가난하고,-1
몹시 가난하여,-1
몹시 가난한,-1
몹시 가렵고,-1
몹시 가쁘고,-1
몹시 갑갑하고,-1
몹시 거북스럽게,-1
몹시 거북하거나,-1
몹시 거칠게,-1
몹시 거칠고,-1
몹시 거칠다,-1
몹시 거칠어,-1
몹시 겁을,-1
몹시 게으름을,-1
몹시 경망스럽게,-1
몹시 고단하다,-1
몹시 고단하여,-1
몹시 고생스러운,-1
몹시 고통을,-1
몹시 괴로운,-1
몹시 괴롭고,-1
몹시 괴롭다,-1
몹시 괴롭히거나,-1
몹시 구속하다,-1
몹시 군색함,-1
몹시 군소리를,-1
몹시 굳은,-1
몹시 굼뜨고,-1
몹시 궁하고,-1
몹시 귀찮게,-1
몹시 귀찮아하도록,-1
몹시 긴장하거나,-1
몹시 까불어서,-1
몹시 까칠하다,-1
몹시 꺼불다,-1
몹시 꺼칠하다,-1
몹시 난처하거나,-1
몹시 낡고,-1
몹시 노엽거나,-1
몹시 노하여,-1
몹시 놀라,-1
몹시 놀라거나,-1
몹시 느리고,-1
몹시 답답하고,-1
몹시 답답한,-1
몹시 더듬는,-1
