숙소번호,모텔명,주소,추천여부_3,추천여부_2,추천여부_최종,전체평점,평점/친절도,평점/청결도,평점/편의성,평점/주변여행,평점순/친절도순,평점순/청결도순,평점순/편의성순,평점순/주변여행순
183,완도 코너레지던스호텔,전라남도 완도군 완도읍 개포로 179,보통추천,보통추천,2,4.9,4.9,5,5,4.9,4.94,4.96,4.96,4.94
184,해남 아침의향기펜션,전라남도 해남군 삼산면 고산로 761-5,완전추천,비추천,2,4.5,4.5,4.3,4,4.2,4.28,4.26,4.22,4.24
185,신안 섬안애펜션,전라남도 신안군 증도면 지도증도로 1908,매우완전추천,보통추천,2,5,5,4.3,5,5,4.84,4.77,4.84,4.84
186,고흥 나로리뷰펜션,전라남도 고흥군 동일면 덕흥음쪽길 272-39,매우완전추천,완전추천,4,4.9,4.9,4.8,4.8,4.6,4.79,4.78,4.78,4.76
187,영광 백수해안도로펜션,전라남도 영광군 백수읍 해안로 918,매우완전추천,보통추천,2,4.6,5,5,4.8,4.8,4.91,4.91,4.89,4.89
188,보성 그린빌펜션,전라남도 보성군 보성읍 사동길 52-2,완전추천,비추천,2,4.6,4.6,4.6,4.6,4.7,4.62,4.62,4.62,4.63
189,완도 용현이네펜션,전라남도 완도군 신지면 대곡길 79-152,매우완전추천,완전추천,4,5,5,4.8,4.8,4.2,4.73,4.71,4.71,4.64
190,광양 더자연펜션,전라남도 광양시 옥룡면 묵방길 30-11,매우완전추천,완전추천,4,5,5,5,4.7,5,4.93,4.93,4.9,4.93
191,고흥 해수온천바다스파랜드펜션,전라남도 고흥군 도양읍 명동길 16,매우완전추천,완전추천,4,4.1,4.3,3.9,3.9,4.4,4.14,4.1,4.1,4.16
192,광양 숲속농원펜션,전라남도 광양시 진상면 신황길 103-37,매우완전추천,매우완전추천,5,4.8,4.5,5,4.8,4.5,4.68,4.73,4.71,4.68
193,함평 윤슬한옥펜션,전라남도 함평군 함평읍 주포한옥길 23-6,매우완전추천,매우완전추천,5,5,5,5,5,5,5,5,5,5
194,고흥 나로아라펜션,전라남도 고흥군 봉래면 창포길210,매우완전추천,완전추천,4,5,5,5,5,5,5,5,5,5
195,영광 해변중앙펜션,전라남도 영광군 백수읍 해안로 1484,매우완전추천,완전추천,4,4.8,4.7,5,5,4.8,4.86,4.89,4.89,4.87
196,완도 리베라펜션,전라남도 완도군 신지면 신지로 415,매우완전추천,매우완전추천,5,4.7,4.7,4.7,4.6,4.7,4.68,4.68,4.67,4.68
197,해남 꼬꼬펜션,전라남도 해남군 해남읍 읍옥동길 7,매우완전추천,비추천,2,4,4,4,4,4.5,4.11,4.11,4.11,4.17
